customer_id,region,income,debt,loan_amount,loan_purpose,township_flag,load_shedding_hours,transaction_frequency,support_tickets,days_since_last_contact,churned
CUST_013992,Cape Town,4901.292908281202,2103.83917163583,2262.9409928687005,home_improvement,1,7,9,0,104,1
CUST_001426,Pta,21558.6952744027,10098.703556069662,12138.663414758325,car,0,1,9,0,55,0
CUST_014506,Western Cape,"R13,450",5183.79575086285,9050.804241388374,car,0,3,3,0,53,0
CUST_007271,JHB,22035.84806822667,7377.281800523165,10085.530053622442,debt_consolidation,1,4,5,3,1,0
CUST_006659,Johannesburg,14831.862514827268,6067.4077495056,6615.690632326498,debt_consolidation,1,5,15,0,160,1
CUST_004001,Western Cape,"R12,395",4147.372648374638,8598.751159253568,debt_consolidation,0,3,6,0,8,1
CUST_010646,Joburg,,,,debt_consolidation,1,4,11,0,22,0
CUST_006818,Pretoria,"R39,523",11961.985333638471,20621.40356679291,car,0,7,4,0,141,1
CUST_005673,eThekwini,10108.11639309809,6557.761634214281,3838.584817250132,debt_consolidation,0,4,10,0,42,0
CUST_010704,Pta,5380.836566779023,1678.958202331031,3351.209792618464,car,0,8,11,0,63,0
CUST_004102,Western Cape,39905.296632172074,0.0,20133.64621646233,other,0,3,8,2,39,0
CUST_012149,Johburg,13023.537278031014,4833.121560987758,2846.036266588611,business,1,4,12,0,35,0
CUST_013675,Pta,,,,home_improvement,1,7,12,0,10,0
CUST_003352,Western Cape,,,,debt consolidation,1,7,10,0,82,0
CUST_007832,Western Cape,11478.956630527593,4977.798333172192,4460.936911160755,other,0,4,13,1,133,0
CUST_013994,CPT,7981.814001870629,1489.801056638384,3990.676007920932,car,0,2,9,2,48,0
CUST_008111,Western Cape,2954.331116861523,1012.9595298777482,1994.3459988381371,car,0,8,4,0,28,0
CUST_011510,JHB,31985.75810932497,18942.94426832711,18355.959295360622,consolidation,0,1,4,0,173,0
CUST_002706_DUP,Gqeberha,,,,business,1,7,15,0,16,0
CUST_009812_DUP,Nelson Mandela Bay,21304.198408679844,4187.896852129577,11131.988185750488,car,0,5,6,2,48,0
CUST_014630,Johannesburg,7179.5817331932785,1518.9589669979619,7163.7775201312625,debt_consolidation,1,4,10,0,107,0
CUST_009680,Joburg,"R6,098",2413.149249569565,3266.6714673907595,other,1,6,13,3,59,1
CUST_011739,DBN,10549.95443464751,3176.344558684688,5817.093866879623,education,0,2,6,0,158,0
CUST_007125,Capetown,,,,debt_consolidation,1,4,9,0,80,0
CUST_003930,Johannesburg,2741.1776533017837,523.5022487163411,1008.8646134890424,debt_consolidation,0,3,7,0,9,0
CUST_013349,CPT,,,,business,0,5,9,0,72,0
CUST_002532,PE,62430.76003604359,19402.659022190805,35174.44356466065,education,0,5,15,2,119,0
CUST_000264,CPT,12219.974350868675,6204.531503076227,7090.6275366669715,home_improvement,0,2,11,0,160,0
CUST_014996,Durban,,,,vehicle,1,8,9,0,27,0
CUST_006102,Durban,,,,debt_consolidation,0,6,15,0,100,0
CUST_012515,DBN,12843.839950783464,5061.37672283865,2650.126079001736,business,0,4,6,0,5,0
CUST_007517,Joburg,14488.519012060638,7242.3046845460785,8435.701871095112,debt_consolidation,0,2,5,0,88,0
CUST_005809,eThekwini,8151.872214865677,1579.987266701128,2599.9830210617424,debt_consolidation,0,5,8,0,13,1
CUST_013101,JHB,10448.797822451234,4401.26826628748,4636.575300032818,business,0,5,9,0,209,0
CUST_005246,Western Cape,23830.456117078364,4681.337498436278,15100.041721576092,debt_consolidation,0,6,4,0,58,0
CUST_011982,Johannesburg,15139.272570852001,7192.6074377433515,8324.657338696208,home_improvement,0,6,6,0,33,0
CUST_001406,CPT,20344.51100159972,2889.3696981397243,7176.483592799547,debt_consolidation,1,8,14,0,32,0
CUST_004266,Capetown,52268.25853041002,13704.492357237134,20891.365500804106,business,1,5,11,4,143,0
CUST_002855,Johburg,8515.248946490228,5796.38372186711,3027.9245603538893,home_improvement,0,6,9,0,31,1
CUST_008231,Johannesburg,24165.062741718913,8127.705258530393,12026.695824300827,business,0,6,7,0,53,0
CUST_010606,Johannesburg,26587.44929107693,10663.527296362183,12815.10471841752,business,1,3,16,5,115,1
CUST_009986,Western Cape,,,,debt_consolidation,1,10,11,0,64,0
CUST_012429,Johannesburg,6312.918422887088,450.255263719198,2214.2238894373513,home_improvement,1,1,6,3,72,0
CUST_011225,CPT,13576.54204026063,4915.686882825815,8141.2237424327595,business,0,4,10,0,7,0
CUST_006349,CPT,,,,medical,1,7,14,1,20,0
CUST_010385,Gqeberha,18848.859782714706,4304.418354332581,3427.8517979088983,debt_consolidate,0,2,12,0,21,0
CUST_010554,Capetown,2757.230943780139,1075.5524739174105,1000.0,renovation,1,11,8,0,13,1
CUST_002803,Pta,1804.2727617707355,874.0602853917336,1124.926342141325,other,0,7,15,0,80,0
CUST_002052,Western Cape,32681.48170667035,9968.743739635203,23046.6229827356,education,0,4,15,3,85,0
CUST_003689,Gauteng,20965.599127186535,4189.309828654335,6440.944111489175,business,0,3,7,0,0,0
CUST_014288,PE,8953.464518927229,2922.949292165967,6716.346408090966,debt_consolidation,0,4,9,0,23,0
CUST_003831,Western Cape,10765.987794402941,7055.103037994551,3624.966637914543,car,1,6,4,0,38,1
CUST_010651,Tshwane,,,,home_improvement,0,5,11,0,87,1
CUST_013815,Capetown,6384.852725282348,2234.173880744575,2702.470765691298,debt_consolidation,1,9,11,0,36,0
CUST_007851,Gauteng,7880.546060588328,1572.441110499426,5355.449253648727,education,1,2,11,2,181,0
CUST_012430,eThekwini,21526.432671114373,4546.6137812472425,15777.653801914508,debt_consolidation,0,3,6,1,1,0
CUST_003843,Capetown,26071.914608201256,12641.921644546368,9309.016246787914,home_improve,1,3,13,2,13,0
CUST_009757,Joburg,,,,home_improvement,0,7,12,0,1,0
CUST_013149,eThekwini,9415.308326021343,1349.8018954493505,3198.652779040396,car,0,6,6,1,139,0
CUST_001675,eThekwini,3749.537902032316,887.3582401621197,1125.2406106060596,car,0,6,9,0,25,0
CUST_001639,Pretoria,26689.55540454162,14480.278672350232,14758.156154719241,business,0,3,10,3,21,0
CUST_009134,Joburg,7773.38708405607,4685.007962115824,3891.590951428139,debt_consolidation,1,8,11,2,39,0
CUST_009035,Cape Town,5010.767329725039,2583.213517346464,3072.286940882097,home_improvement,0,3,6,2,17,0
,,,,,,,,,,,
CUST_012406,Johburg,"R23,115",8875.779456614247,12422.807580394932,debt_consolidate,1,7,6,0,75,0
CUST_014173,eThekwini,"R5,648",2278.2690769936407,2731.366794141837,home_improvement,0,4,11,1,54,0
CUST_003827,Capetown,,,,education,1,5,10,0,63,1
CUST_001682,Tshwane,18560.314143114938,9996.616405090732,13059.774508631122,debt_consolidation,0,5,10,0,34,0
CUST_008303,Durban,15467.891387801299,3213.820129625252,2624.687577544211,debt_consolidation,0,4,12,2,16,0
CUST_010516,Cape Town,17730.422108902876,10937.333635496621,11816.613723330876,other,0,3,8,0,208,1
CUST_006464,Gauteng,35041.066300629165,9038.285225054702,10508.18310650996,home_improvement,0,0,10,3,132,0
CUST_013647,DBN,"R10,781",0.0,3773.653198935258,car,1,6,12,1,68,1
CUST_007490,Nelson Mandela Bay,,,,debt_consolidation,1,9,8,0,58,0
CUST_014322,Johburg,9680.08988387913,4173.354558903639,5417.305315794024,debt_consolidation,1,4,8,0,28,0
CUST_007574,eThekwini,9189.765063092485,5310.922457509302,5889.19682527929,debt_consolidation,0,12,7,0,150,0
